test,vulkan_pvmm,vulkan_chains_union,vulkan_chains_new,vulkan_pvmm_new,vulkan_pvmm_new1,vulkan_pvmm_new2,vulkan_pvmm_new3,vulkan_pvmm_new4
,,,,,,,,
2-background-mp-semsc-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
2-background-mp-semsc-b,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2-background-mp-semsc-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
2-background-mp-avvis-a,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
2-background-mp-avvis-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
3.1-problem-semsc-mp-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-problem-semsc-mp-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-problem-semsc-mp-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-problem-semsc-mp-fences-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-problem-semsc-mp-fences-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-problem-semsc-mp-fences-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
,,,,,,,,
3.1-x-problem-semsc-lb-a,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-x-problem-semsc-lb-b,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-x-problem-semsc-lb-c,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-x-problem-semsc-lb-c-acqrel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-x-problem-semsc-lb-d,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
3.1-x-problem-semsc-lb-d-acqrel,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
